"","sel","","title","artist","top genre","year","added","bpm","nrgy","dnce","dB","live","val","dur","acous","spch","pop"
"456","on (i)","","Constant Bullshit","Summer Walker","r&b","2021","2023‑06‑22","119","54","44","-9","14","39","197","22","5","60"
"457","on (i)","","Wow Wow (feat. Becky G)","Maria Becerra","pop argentino","2021","2023‑06‑22","176","68","74","-4","10","87","200","7","8","60"
"458","on (i)","","The Business, Pt. II","Tiësto","big room","2021","2023‑06‑22","120","75","66","-7","13","33","164","14","10","60"
"459","on (i)","","Higher (feat. iann dior)","Clean Bandit","pop","2021","2023‑06‑22","104","74","72","-5","14","54","204","34","4","60"
"460","on (i)","","Pump the Brakes","Dom Dolla","australian house","2021","2023‑06‑22","124","67","81","-7","36","50","221","1","10","60"
"461","on (i)","","You - Topic Remix","Regard","pop dance","2021","2023‑06‑22","124","89","73","-6","24","70","157","6","7","60"
"462","on (i)","","PAP (Pendiente Al Paso)","The Martinez Brothers","deep disco house","2021","2023‑06‑22","126","74","71","-7","15","29","164","43","4","60"
"463","on (i)","","Chucks","Mi Casa","afro soul","2021","2023‑06‑22","124","81","73","-5","18","51","169","8","5","60"
"464","on (i)","","Like That","Seamus D","","2021","2023‑06‑22","124","75","72","-8","14","20","181","2","4","60"
"465","on (i)","","Abalele","Kabza De Small","amapiano","2021","2023‑06‑22","113","45","79","-16","13","59","416","18","8","60"
"466","on (i)","","Waiting On A War","Foo Fighters","alternative metal","2021","2023‑06‑22","132","76","53","-7","32","50","254","1","4","60"
"467","on (i)","","Kill The Noise","Papa Roach","alternative metal","2021","2023‑06‑22","95","87","53","-5","28","61","188","0","6","60"
"468","on (i)","","Cody Freestyle","Steve Lacy","afrofuturism","2022","2023‑06‑22","80","31","21","-12","12","6","240","18","3","60"
"469","on (i)","","Hold Me","Hojean","bedroom r&b","2022","2023‑06‑22","84","47","73","-9","10","65","164","46","3","60"
"470","on (i)","","TOKYO HEAT (Tokyo Drift)","C.H.A.Y.","","2022","2023‑06‑22","127","64","75","-6","8","80","161","1","5","60"
"471","on (i)","","World Hold On - FISHER Rework","Bob Sinclar","disco house","2022","2023‑06‑22","127","88","77","-5","14","89","178","1","6","60"
"472","on (i)","","I Wanna Dance With Somebody - UK Edit","Nora Van Elken","tropical house","2022","2023‑06‑22","124","89","66","-5","92","24","135","3","4","60"
"473","on (i)","","Wild","Spoon","alternative rock","2022","2023‑06‑22","97","70","65","-8","8","81","193","4","4","60"
"474","on (i)","","Kepler-22b","King Gizzard & The Lizard Wizard","australian psych","2022","2023‑06‑22","101","88","67","-6","11","92","193","2","10","60"
"475","on (i)","","Forget About Us","Albin Lee Meldau","swedish pop","2022","2023‑06‑22","170","57","49","-8","8","41","196","8","3","60"
"476","on (i)","","Malibu","THE DRIVER ERA","modern alternative rock","2022","2023‑06‑22","111","66","86","-7","10","75","168","28","7","60"
"477","on (i)","","Creeps","Koe Wetzel","classic texas country","2022","2023‑06‑22","88","85","58","-5","8","30","226","0","3","60"
"478","on (i)","","Used To Me (feat. Ty Dolla $ign)","Mario","dance pop","2023","2023‑06‑22","90","61","74","-7","14","64","168","31","6","60"
"479","on (i)","","Traingazing","Sam Wills","uk contemporary r&b","2020","2023‑06‑22","138","36","85","-10","14","55","214","69","6","59"
"480","on (i)","","late nights","Linearwave","anime lo-fi","2020","2023‑06‑22","69","31","74","-14","11","44","129","94","4","59"
"481","on (i)","","Looking At You (feat. Sam Vesso)","Two Friends","","2020","2023‑06‑22","122","82","65","-4","8","79","154","14","13","59"
"482","on (i)","","Deep End","John Summit","house","2020","2023‑06‑22","126","84","80","-8","12","84","156","0","4","59"
"483","on (i)","","Only you my girl","MysticHits","","2021","2023‑06‑22","81","58","44","-5","42","61","143","73","4","59"
"484","on (i)","","Eternal Sunshine","Lou Val","canadian contemporary r&b","2021","2023‑06‑22","67","58","24","-8","34","27","242","6","3","59"
"485","on (i)","","Motorbike","Leon Bridges","modern blues","2021","2023‑06‑22","150","49","72","-11","11","61","189","16","7","59"
"486","on (i)","","Why Do You Run","Planet Giza","indie hip hop","2021","2023‑06‑22","84","54","59","-8","33","73","101","38","7","59"
"487","on (i)","","Until You","AHI","canadian folk","2021","2023‑06‑22","140","48","72","-10","11","44","199","90","6","59"
"488","on (i)","","Hello","Hollow Coves","indie folk","2021","2023‑06‑22","100","24","63","-14","13","15","194","91","3","59"
"489","on (i)","","Alive","RÜFÜS DU SOL","australian electropop","2021","2023‑06‑22","122","82","55","-6","16","11","335","1","3","59"
"490","on (i)","","Typhoons","Royal Blood","brighton indie","2021","2023‑06‑22","115","72","60","-4","35","58","237","0","4","59"
"491","on (i)","","Concorde","Black Country, New Road","crank wave","2022","2023‑06‑22","131","28","56","-12","11","31","364","2","3","59"
"492","on (i)","","Thérèse","Maya Hawke","indie pop","2022","2023‑06‑22","104","35","62","-12","10","36","207","95","4","59"
"493","on (i)","","Sunflower","Tamino","belgian indie","2022","2023‑06‑22","116","28","47","-11","23","10","264","66","3","59"
"494","on (i)","","just like heaven","The Lumineers","folk-pop","2022","2023‑06‑22","130","25","46","-10","9","17","204","99","3","59"
"495","on (i)","","Adderall","Slipknot","alternative metal","2022","2023‑06‑22","166","64","20","-6","13","17","340","1","4","59"
"496","on (i)","","These Four Walls","Khamari","indie r&b","2023","2023‑06‑22","138","34","60","-8","13","32","186","51","15","59"
"497","on (i)","","68","Nolan Taylor","","2023","2023‑06‑22","162","13","47","-12","11","24","208","80","6","59"
"498","on (i)","","Tropic Morning News","The National","chamber pop","2023","2023‑06‑22","144","82","56","-7","9","72","309","3","3","59"
"499","on (i)","","Waiting For (feat. Jamila Woods)","rum.gold","alternative r&b","2020","2023‑06‑22","122","38","74","-12","8","60","200","20","8","58"
"500","on (i)","","Tidal Wave","Tom Misch","indie soul","2020","2023‑06‑22","141","49","53","-9","11","34","249","5","5","58"
"501","on (i)","","Someday","Kygo","edm","2020","2023‑06‑22","122","69","61","-7","14","33","224","17","12","58"
"502","on (i)","","Come Check This","FETISH","","2020","2023‑06‑22","125","86","75","-7","20","48","192","11","10","58"
"503","on (i)","","Shot In The Dark","AC/DC","australian rock","2020","2023‑06‑22","114","79","60","-5","6","82","185","0","3","58"
"504","on (i)","","Break My Baby","KALEO","icelandic indie","2020","2023‑06‑22","74","76","53","-4","16","38","266","11","4","58"
"505","on (i)","","Hello Hello Hello","Remi Wolf","indie pop","2020","2023‑06‑22","87","67","74","-8","22","80","172","11","14","58"
"506","on (i)","","Leave Me Alone","I DONT KNOW HOW BUT THEY FOUND ME","alt z","2020","2023‑06‑22","104","89","54","-3","32","57","216","0","4","58"
"507","on (i)","","I Kissed A Girl","Sunlike Brothers","slap house","2020","2023‑06‑22","130","79","79","-7","11","8","180","8","18","58"
"508","on (i)","","AMBER","Unusual Demont","indie r&b","2021","2023‑06‑22","119","76","88","-7","21","70","212","35","21","58"
"509","on (i)","","When The Summer Dies","deadmau5","canadian electronic","2021","2023‑06‑22","128","64","80","-7","23","45","330","0","5","58"
"510","on (i)","","First Time","ILLENIUM","edm","2021","2023‑06‑22","155","67","53","-5","32","43","166","5","4","58"
"511","on (i)","","Streets - Disclosure Remix","Doja Cat","dance pop","2021","2023‑06‑22","118","70","70","-7","28","41","254","39","14","58"
"512","on (i)","","Paradise (feat. Indiiana)","Drenchill","pop edm","2021","2023‑06‑22","126","82","73","-5","19","49","149","2","8","58"
"513","on (i)","","Shame Shame","Foo Fighters","alternative metal","2021","2023‑06‑22","122","86","65","-4","4","38","257","0","3","58"
"514","on (i)","","Never Take It","Twenty One Pilots","modern rock","2021","2023‑06‑22","118","73","75","-6","7","78","213","1","3","58"
"515","on (i)","","Pepas, Memories","bruizerx","","2021","2023‑06‑22","130","87","53","-5","8","63","169","1","4","58"
"516","on (i)","","ONLY ONE","Jessie Reyez","canadian contemporary r&b","2022","2023‑06‑22","188","67","52","-5","11","41","184","11","11","58"
"517","on (i)","","Here to Forever","Death Cab for Cutie","alternative rock","2022","2023‑06‑22","158","77","62","-8","16","93","226","7","4","58"
"518","on (i)","","Mistakes","Sharon Van Etten","art pop","2022","2023‑06‑22","100","78","57","-8","18","52","239","0","3","58"
"519","on (i)","","Close Your Eyes","The Backseat Lovers","pov: indie","2022","2023‑06‑22","109","35","57","-10","13","8","305","6","3","58"
"520","on (i)","","Everything I Know About Love","Laufey","gen z singer-songwriter","2022","2023‑06‑22","68","33","66","-7","33","51","210","62","4","58"
"521","on (i)","","Cate’s Brother","Maisie Peters","alt z","2022","2023‑06‑22","98","65","74","-5","31","40","181","1","3","58"
"522","on (i)","","Won’t Stand Down","Muse","modern rock","2022","2023‑06‑22","105","88","51","-4","16","42","209","0","9","58"
"523","on (i)","","One of Those Days (feat. Eric Clapton)","Ozzy Osbourne","album rock","2022","2023‑06‑22","82","84","41","-4","11","31","280","0","3","58"
"524","on (i)","","Life Was Easier When I Only Cared About Me","Bad Suns","la indie","2022","2023‑06‑22","140","91","63","-5","14","75","231","1","4","58"
"525","on (i)","","Imperium","Ghost","hard rock","2022","2023‑06‑22","75","47","31","-10","20","20","100","0","3","58"
"526","on (i)","","Pain Is Inevitable","Daniel Caesar","canadian contemporary r&b","2023","2023‑06‑22","153","36","35","-11","36","13","295","83","6","58"
"527","on (i)","","white rice déjà vu","Musiq Soulchild","contemporary r&b","2023","2023‑06‑22","146","75","55","-7","11","73","230","40","8","58"
"528","on (i)","","Called it Love","Gen Neo","chinese electropop","2023","2023‑06‑22","124","38","62","-9","11","33","186","79","21","58"
"529","on (i)","","I Choose U (feat. RINI)","RIMON","alternative r&b","2023","2023‑06‑22","162","69","47","-5","12","55","202","2","8","58"
"530","on (i)","","Curious (feat. Fabolous)","Eric Bellinger","pop r&b","2023","2023‑06‑22","85","62","81","-5","6","76","196","5","31","58"
"531","on (i)","","Horizons","Gus Dapperton","bedroom pop","2023","2023‑06‑22","135","81","57","-5","13","66","184","0","3","58"
"532","on (i)","","Nobody (feat. dodie)","half•alive","alt z","2023","2023‑06‑22","100","71","72","-7","23","65","207","31","9","58"
"533","on (i)","","Moonshine","Hippo Campus","minneapolis indie","2023","2023‑06‑22","157","93","51","-6","7","74","240","22","4","58"
"534","on (i)","","Something to Someone","Dermot Kennedy","folk-pop","2023","2023‑06‑22","147","87","52","-6","8","46","198","26","10","58"
"535","on (i)","","Monday Magic","Lil Cobaine","","2020","2023‑06‑22","138","40","73","-13","11","61","146","16","6","57"
"536","on (i)","","Live Without Your Love (with Steve Lacy)","Love Regenerator","afrofuturism","2020","2023‑06‑22","128","83","67","-8","11","52","205","13","5","57"
"537","on (i)","","Don't Start Now - Purple Disco Machine Remix","Dua Lipa","dance pop","2020","2023‑06‑22","124","75","77","-6","35","81","217","5","5","57"
"538","on (i)","","Love Again","AVAION","","2020","2023‑06‑22","115","51","85","-9","11","30","203","79","3","57"
"539","on (i)","","Remember Me","Alyssa & Gia","","2020","2023‑06‑22","115","90","73","-5","21","48","137","15","6","57"
"540","on (i)","","Psychics in LA","Peach Pit","pov: indie","2020","2023‑06‑22","132","85","33","-5","23","62","207","1","5","57"
"541","on (i)","","For Sure","Future Islands","alternative dance","2020","2023‑06‑22","135","77","59","-6","8","76","205","4","3","57"
"542","on (i)","","Losing My Religion (feat. MKLA)","Steve Aoki","edm","2021","2023‑06‑22","124","82","60","-9","11","29","168","2","4","57"
"543","on (i)","","Smells Like Teen Spirit","Coopex","covertronica","2021","2023‑06‑22","120","78","68","-4","18","61","186","31","6","57"
"544","on (i)","","Adiwele (feat. Kabza De Small & DJ Maphorisa)","Young Stunna","amapiano","2021","2023‑06‑22","112","62","85","-12","5","74","471","1","4","57"
"545","on (i)","","Beautiful James","Placebo","britpop","2021","2023‑06‑22","168","90","40","-7","11","20","249","0","5","57"
"546","on (i)","","When It Breaks","Inhaler","dublin indie","2021","2023‑06‑22","146","96","43","-6","35","23","223","0","9","57"
"547","on (i)","","The Bandit","Kings of Leon","modern rock","2021","2023‑06‑22","145","82","39","-5","11","39","251","1","4","57"
"548","on (i)","","Drippin' in Milano","ANNA","italian hip hop","2021","2023‑06‑22","93","77","84","-4","14","50","160","10","20","57"
"549","on (i)","","Losing You","FLO","","2022","2023‑06‑22","120","51","50","-7","8","43","225","45","6","57"
"550","on (i)","","Shut Off The Lights","Bastille","metropopolis","2022","2023‑06‑22","105","91","62","-3","14","66","187","41","10","57"
"551","on (i)","","Fallin' With Me","The Struts","glam rock","2022","2023‑06‑22","126","92","64","-2","11","77","162","1","12","57"
"552","on (i)","","Idol Eyes","Common Saints","","2020","2023‑06‑22","174","63","50","-7","10","75","288","18","3","56"
"553","on (i)","","Bitter Pill","Christian Kuria","chill r&b","2020","2023‑06‑22","156","59","63","-8","16","83","240","65","4","56"
"554","on (i)","","In Your Eyes (feat. Alida) - LUM!X Remix","Robin Schulz","deep euro house","2020","2023‑06‑22","128","78","69","-5","18","69","204","12","19","56"
"555","on (i)","","Anything","Alison Wonderland","aussietronica","2020","2023‑06‑22","120","91","77","-5","6","42","226","18","5","56"
"556","on (i)","","It's Not Right","Gianni Romano","latin house","2020","2023‑06‑22","123","72","78","-9","8","23","382","1","5","56"
"557","on (i)","","Deleter","GROUPLOVE","indie rock","2020","2023‑06‑22","160","99","42","-4","13","45","234","0","12","56"
"558","on (i)","","Woo!","Remi Wolf","indie pop","2020","2023‑06‑22","86","46","78","-5","11","74","197","21","5","56"
"559","on (i)","","Wild Life","OneRepublic","piano rock","2020","2023‑06‑22","116","76","50","-8","16","6","267","1","4","56"
"560","on (i)","","Urantia","Deftones","alternative metal","2020","2023‑06‑22","111","91","30","-3","14","27","270","0","4","56"
"561","on (i)","","Cacao (feat. Dylan)","Ghali","italian hip hop","2020","2023‑06‑22","124","51","92","-5","30","33","114","2","10","56"
"562","on (i)","","And We Go Gentle","Hiatus Kaiyote","alternative r&b","2021","2023‑06‑22","72","58","59","-8","11","53","203","30","4","56"
"563","on (i)","","Let It Go (with Marc E. Bassy) - Vintage Culture Remix","Louie Vega","chicago house","2021","2023‑06‑22","124","81","91","-7","24","64","204","3","15","56"
"564","on (i)","","Don't You Want Me - Purple Disco Machine Remix","The Human League","new romantic","2021","2023‑06‑22","121","83","75","-7","10","79","210","1","4","56"
"565","on (i)","","A Concert Six Months From Now","FINNEAS","alt z","2021","2023‑06‑22","139","23","54","-10","13","27","205","72","6","56"
"566","on (i)","","No Son Of Mine","Foo Fighters","alternative metal","2021","2023‑06‑22","125","97","54","-4","8","44","209","0","8","56"
"567","on (i)","","Cool Kids","Justus Bennetts","gen z singer-songwriter","2021","2023‑06‑22","126","78","81","-3","64","93","132","4","12","56"
"568","on (i)","","Cheer Up Baby","Inhaler","dublin indie","2021","2023‑06‑22","143","91","46","-6","10","33","234","0","4","56"
"569","on (i)","","Smile","Wolf Alice","indie rock","2021","2023‑06‑22","187","77","37","-5","7","38","197","0","7","56"
"570","on (i)","","It Won't Always Be Like This","Inhaler","dublin indie","2021","2023‑06‑22","128","90","52","-5","7","28","245","0","5","56"
"571","on (i)","","FLY AGAIN","Turnstile","hardcore punk","2021","2023‑06‑22","81","87","36","-5","15","49","152","0","6","56"
"572","on (i)","","Promiscuous Motive","Josiane Lessard","","2021","2023‑06‑22","114","80","79","-11","26","71","517","3","4","56"
"573","on (i)","","Human Crime","Pixies","alternative rock","2022","2023‑06‑22","149","88","43","-4","12","39","188","0","5","56"
"574","on (i)","","Horses","Maggie Rogers","indie pop","2022","2023‑06‑22","106","62","61","-4","6","15","305","64","3","56"
"575","on (i)","","Green Eyes","Jake Scott","indiecoustica","2022","2023‑06‑22","99","45","74","-9","8","47","150","7","10","56"
"576","on (i)","","These Are the Ways","Red Hot Chili Peppers","alternative rock","2022","2023‑06‑22","128","91","42","-5","25","31","236","0","8","56"
"577","on (i)","","Love Of Mine - Night Visions Demo","Imagine Dragons","modern rock","2022","2023‑06‑22","75","83","45","-7","7","21","250","0","4","56"
"578","on (i)","","FINIMONDO","M¥SS KETA","italian indie pop","2022","2023‑06‑22","126","84","80","-7","18","69","172","3","23","56"
"579","on (i)","","RIGHT OR WRONG (HYPNOSIS)","Pitbull","dance pop","2023","2023‑06‑22","125","82","81","-4","36","57","161","7","18","56"
"580","on (i)","","Driving","DWLLRS","chill pop","2023","2023‑06‑22","192","90","34","-4","27","33","189","13","8","56"
"581","on (i)","","Holly","Anna Shoemaker","","2023","2023‑06‑22","121","79","62","-6","10","59","168","1","3","56"
"582","on (i)","","Ribbons","Ryan Beatty","bedroom soul","2023","2023‑06‑22","138","25","40","-13","15","24","198","93","4","56"
"583","on (i)","","On My Mind - Purple Disco Machine Remix","Diplo","edm","2020","2023‑06‑22","123","69","73","-6","18","74","263","10","3","55"
"584","on (i)","","Bang!","AJR","pov: indie","2020","2023‑06‑22","140","52","74","-6","6","70","171","2","5","55"
"585","on (i)","","Visitor","Of Monsters and Men","folk-pop","2020","2023‑06‑22","82","87","57","-5","12","48","207","0","3","55"
"586","on (i)","","Dying Breed","The Killers","alternative rock","2020","2023‑06‑22","151","78","66","-5","15","61","246","0","9","55"
"587","on (i)","","Dr0nched In Sw0t","KAMAARA","dark trap","2020","2023‑06‑22","87","86","60","-7","78","32","252","4","41","55"
"588","on (i)","","My Father's Daughter","Olivia Vedder","acoustic rock","2021","2023‑06‑22","129","21","70","-11","14","30","171","58","3","55"
"589","on (i)","","Right on Time","Brandi Carlile","acoustic pop","2021","2023‑06‑22","122","27","42","-9","12","15","185","63","4","55"
"590","on (i)","","Sapling","Foy Vance","british singer-songwriter","2021","2023‑06‑22","130","46","45","-9","11","16","258","59","7","55"
"591","on (i)","","Wildfire","Cautious Clay","indie r&b","2021","2023‑06‑22","85","35","56","-11","45","42","152","67","3","55"
"592","on (i)","","Chapstick","COIN","pov: indie","2021","2023‑06‑22","115","64","81","-6","11","78","193","1","4","55"
"593","on (i)","","Time in Disguise","Kings of Leon","modern rock","2021","2023‑06‑22","124","57","60","-9","10","35","286","29","3","55"
"594","on (i)","","One By One","The Blue Stones","modern alternative rock","2021","2023‑06‑22","91","73","61","-8","59","56","251","7","5","55"
"595","on (i)","","Stormy Weather","Kings of Leon","modern rock","2021","2023‑06‑22","125","81","50","-5","7","47","222","2","4","55"
"596","on (i)","","Sunbleach","Christian Kuria","chill r&b","2022","2023‑06‑22","87","48","60","-8","10","38","236","35","5","55"
"597","on (i)","","Cooking","Current Joys","lo-fi indie","2022","2023‑06‑22","115","74","59","-8","9","56","171","15","3","55"
"598","on (i)","","new body rhumba (from the film White Noise)","LCD Soundsystem","alternative dance","2022","2023‑06‑22","137","93","71","-5","15","70","444","9","5","55"
"599","on (i)","","Eddie","Red Hot Chili Peppers","alternative rock","2022","2023‑06‑22","142","81","52","-6","9","53","342","0","5","55"
"600","on (i)","","Another Life","Naomi Sharon","dutch r&b","2023","2023‑06‑22","115","33","35","-13","11","6","271","21","4","55"
"601","on (i)","","Fallin","Coco Jones","","2023","2023‑06‑22","90","38","57","-7","10","50","162","48","19","55"
"602","on (i)","","Pray It Away","Chlöe","","2023","2023‑06‑22","100","63","61","-5","12","48","156","34","8","55"
"603","on (i)","","Redlight (feat. Teezo Touchdown)","BETWEEN FRIENDS","indie pop","2023","2023‑06‑22","136","78","70","-6","20","35","174","26","12","55"
"604","on (i)","","Honey","Samia","indie pop","2023","2023‑06‑22","120","51","81","-6","10","79","204","45","4","55"
"605","on (i)","","Amnesia","M83","french shoegaze","2023","2023‑06‑22","140","72","40","-5","11","9","243","3","3","55"
"606","on (i)","","Gimme! Gimme! Gimme! - Sgt Slick's Melbourne Recut - Edit","Sgt Slick","","2020","2023‑06‑22","123","80","63","-3","8","53","183","1","4","54"
"607","on (i)","","Where Do We Go?","WEISS","house","2020","2023‑06‑22","123","92","78","-5","25","88","150","2","10","54"
"608","on (i)","","Douha (Mali Mali) (Edit)","Disclosure","edm","2020","2023‑06‑22","124","83","75","-6","15","48","172","3","15","54"
"609","on (i)","","Madan","Haska","afropop","2020","2023‑06‑22","124","72","80","-6","10","38","176","0","3","54"
"610","on (i)","","Another Day in Paradise","Breno Miranda","brazilian edm","2020","2023‑06‑22","121","70","76","-7","40","31","161","17","6","54"
"611","on (i)","","X 1 MEX (feat. Dani Faiv)","BLOODY VINYL","italian hip hop","2020","2023‑06‑22","123","82","54","-3","14","50","175","0","14","54"
"612","on (i)","","You Don’t Know Me","Summer Walker","r&b","2021","2023‑06‑22","75","26","50","-9","10","50","200","71","4","54"
"613","on (i)","","Veneno - Ao Vivo","Gusttavo Lima","agronejo","2021","2023‑06‑22","125","93","73","-2","80","83","206","15","5","54"
"614","on (i)","","Mi Casa","2fox","","2021","2023‑06‑22","124","76","74","-7","33","81","167","7","3","54"
"615","on (i)","","april’s-bloom","julie","grungegaze","2021","2023‑06‑22","132","91","53","-6","51","44","162","0","4","54"
"616","on (i)","","Human (feat. Barns Courtney)","Tom Morello","modern alternative rock","2021","2023‑06‑22","130","85","51","-5","36","50","184","0","13","54"
"617","on (i)","","Skin and Bones","070 Shake","new jersey rap","2022","2023‑06‑22","116","63","61","-6","8","33","214","4","3","54"
"618","on (i)","","Petty","Emotional Oranges","indie r&b","2022","2023‑06‑22","97","55","68","-9","10","53","195","5","4","54"
"619","on (i)","","Friends","emma løv","alt z","2022","2023‑06‑22","152","71","67","-7","14","87","171","27","5","54"
"620","on (i)","","We Go Out","Alesso","dance pop","2022","2023‑06‑22","126","93","41","-2","35","31","170","0","6","54"
"621","on (i)","","Tongue","Rêve","","2022","2023‑06‑22","122","82","82","-5","10","65","133","5","13","54"
"622","on (i)","","Enid & Rebecca","Les Gordon","french indie pop","2022","2023‑06‑22","125","72","68","-7","14","42","175","6","5","54"
"623","on (i)","","All Is Well (feat. Joy Williams)","Avi Kaplan","acoustic pop","2022","2023‑06‑22","168","23","38","-14","15","24","178","85","3","54"
"624","on (i)","","Try Better Next Time","Placebo","britpop","2022","2023‑06‑22","119","70","59","-6","81","53","188","0","5","54"
"625","on (i)","","Natural Born Killer","Highly Suspect","modern alternative rock","2022","2023‑06‑22","195","74","20","-5","13","16","196","0","12","54"
"626","on (i)","","Tippa My Tongue","Red Hot Chili Peppers","alternative rock","2022","2023‑06‑22","88","91","57","-7","11","80","261","1","4","54"
"627","on (i)","","Yippie Ki Yay","Hippo Campus","minneapolis indie","2023","2023‑06‑22","170","74","51","-6","9","62","267","5","7","54"
"628","on (i)","","handgun","jake minch","","2023","2023‑06‑22","98","37","67","-9","18","70","173","46","4","54"
"629","on (i)","","CRISIS","Sam Ezeh","","2020","2023‑06‑22","140","51","76","-7","3","87","193","2","4","53"
"630","on (i)","","Are You in Love?","Kyle Lux","chill r&b","2020","2023‑06‑22","177","44","57","-8","9","20","246","27","6","53"
"631","on (i)","","L.E.D","Les Gordon","french indie pop","2020","2023‑06‑22","120","62","76","-6","14","48","176","5","16","53"
"632","on (i)","","Pump It","Dj GBR","rave funk","2020","2023‑06‑22","132","54","90","-4","19","83","235","16","14","53"
"633","on (i)","","pray slow","Chase Shakur","","2021","2023‑06‑22","120","39","63","-10","11","23","178","56","10","53"
"634","on (i)","","You Need Me (feat. Maxine Ashley & Sun-El Musician)","Black Coffee","south african house","2021","2023‑06‑22","118","81","66","-13","8","25","376","45","4","53"
"635","on (i)","","Heard About Me (feat. Nea)","Dimitri Vegas & Like Mike","belgian dance","2021","2023‑06‑22","108","84","78","-5","31","59","134","14","6","53"
"636","on (i)","","Who Is He? (feat. Kevin Haden) - Claptone Remix","Alaia & Gallo","funky house","2021","2023‑06‑22","122","90","86","-7","9","80","221","0","5","53"
"637","on (i)","","Shivers - Jax Jones Remix","Ed Sheeran","pop","2021","2023‑06‑22","128","86","63","-4","4","24","207","2","3","53"
"638","on (i)","","Resentment","Madi Diaz","acoustic pop","2021","2023‑06‑22","166","12","55","-13","11","38","173","88","6","53"
"639","on (i)","","Impressions","Portico Quartet","british jazz","2021","2023‑06‑22","122","80","54","-12","11","38","225","28","4","53"
"640","on (i)","","Rage (feat. Travis Barker and Aimee Interrupter of The Interrupters)","Dirty Heads","reggae fusion","2021","2023‑06‑22","160","89","60","-5","33","62","195","0","4","53"
"641","on (i)","","Until I Come Home","Two Feet","indie poptimism","2021","2023‑06‑22","78","78","60","-5","7","61","196","7","4","53"
"642","on (i)","","Truth","Jungle","indie soul","2021","2023‑06‑22","155","76","61","-6","13","77","171","3","3","53"
"643","on (i)","","LONELY DEZIRES","Turnstile","hardcore punk","2021","2023‑06‑22","100","96","50","-7","9","24","163","0","5","53"
"644","on (i)","","Passion Controller","Khazali","modern alternative pop","2022","2023‑06‑22","112","74","70","-8","21","29","172","2","13","53"
"645","on (i)","","Bag Of You","Mahalia","alternative r&b","2022","2023‑06‑22","76","42","35","-9","26","16","197","74","4","53"
"646","on (i)","","Heavy Bend","Big Thief","art pop","2022","2023‑06‑22","133","35","68","-9","10","49","97","86","7","53"
"647","on (i)","","Last Man On Earth","Anna Bates","","2022","2023‑06‑22","179","48","34","-8","17","28","189","54","5","53"
"648","on (i)","","My Ego Dies At The End","Jensen McRae","gen z singer-songwriter","2022","2023‑06‑22","130","45","70","-6","35","55","243","23","3","53"
"649","on (i)","","Love Brand New","Bob Moses","canadian electronic","2022","2023‑06‑22","93","85","48","-4","14","20","198","1","7","53"
"650","on (i)","","My Love","Florence + The Machine","baroque pop","2022","2023‑06‑22","122","84","50","-6","13","16","231","0","8","53"
"651","on (i)","","Wake Up","Young the Giant","indietronica","2022","2023‑06‑22","96","93","53","-6","30","41","217","0","6","53"
"652","on (i)","","Miles Away","Dina Ayada","","2023","2023‑06‑22","162","69","62","-7","12","38","96","15","3","53"
"653","on (i)","","El Clavo","Prince Royce","bachata","2020","2023‑06‑22","160","78","81","-3","11","69","174","4","13","52"
"654","on (i)","","Heads Will Roll - A-Trak Remix","Yeah Yeah Yeahs","alternative dance","2020","2023‑06‑22","132","61","74","-4","7","78","384","1","8","52"
"655","on (i)","","Jerusalema (feat. Burna Boy & Nomcebo Zikode) - Remix","Master KG","bolobedu house","2020","2023‑06‑22","124","45","84","-7","6","83","328","3","6","52"
"656","on (i)","","Hannah Sun","Lomelda","countrygaze","2020","2023‑06‑22","72","27","66","-17","22","31","208","90","4","52"
"657","on (i)","","Dance Of The Clairvoyants","Pearl Jam","alternative metal","2020","2023‑06‑22","114","71","74","-8","8","65","265","1","4","52"
"658","on (i)","","Who’s Gonna Love Me Now","Cold War Kids","indie rock","2020","2023‑06‑22","119","95","45","-4","29","30","171","0","21","52"
"659","on (i)","","Obvious Guy","Alfie Templeman","modern alternative pop","2020","2023‑06‑22","116","78","78","-4","9","90","202","1","4","52"
"660","on (i)","","The Light","Jeremih","chicago rap","2021","2023‑06‑22","93","58","83","-5","4","63","180","2","26","52"
"661","on (i)","","Automatic - Orion Sun Remix","Spencer.","bedroom pop","2021","2023‑06‑22","96","46","65","-13","29","26","125","36","12","52"
"662","on (i)","","No Chill (feat. Lil Xxel)","Cheat Codes","edm","2021","2023‑06‑22","122","75","71","-5","20","85","167","1","3","52"
"663","on (i)","","Love You Better","Alex Preston","australian house","2021","2023‑06‑22","122","95","77","-6","20","55","195","5","16","52"
"664","on (i)","","Chance of a Day, Pt. 3","Erik von Spreckelsen","danish jazz","2021","2023‑06‑22","154","34","60","-13","8","11","388","74","5","52"
"665","on (i)","","The Bandit","Kings of Leon","modern rock","2021","2023‑06‑22","145","83","39","-5","11","36","251","1","4","52"
"666","on (i)","","Dad Vibes","Limp Bizkit","alternative metal","2021","2023‑06‑22","95","89","70","-5","31","84","132","7","11","52"
"667","on (i)","","Memory","Windser","","2021","2023‑06‑22","154","72","62","-6","12","66","197","4","3","52"
"668","on (i)","","It's All Happening","Saint Motel","la indie","2021","2023‑06‑22","128","66","62","-5","11","40","180","0","3","52"
